"V1","V2"
"ENSG00000176601","YSK4"
"ENSG00000177984","LCN15"
"ENSG00000179921","GPBAR1"
"ENSG00000181908","AP003774.4"
"ENSG00000183549","ACSM5"
"ENSG00000186104","CYP2R1"
"ENSG00000189056","RELN"
"ENSG00000196739","COL27A1"
"ENSG00000198089","SFI1"
"ENSG00000198270","TMEM116"
"ENSG00000204176","SYT15"
"ENSG00000204186","ZDBF2"
"ENSG00000204410","MSH5"
"ENSG00000204623","ZNRD1-AS1"
"ENSG00000205488","RP11-116G8.4"
"ENSG00000205929","C21orf62"
"ENSG00000211445","GPX3"
"ENSG00000213185","FAM24B"
"ENSG00000215769","AC103810.2"
"ENSG00000223768","LINC00205"
"ENSG00000223812","RP11-197K6.1"
"ENSG00000224043","AC016725.4"
"ENSG00000224404","LL22NC03-13G6.2"
"ENSG00000224905","AP001347.6"
"ENSG00000228109","MFI2-AS1"
"ENSG00000229520","LINC00404"
"ENSG00000229743","AC018730.3"
"ENSG00000230873","RP3-486B10.1"
"ENSG00000231013","AC013275.2"
"ENSG00000232119","MCTS1"
"ENSG00000233487","AC011322.1"
"ENSG00000234171","AC108488.3"
"ENSG00000234741","GAS5"
"ENSG00000234917","RP5-994D16.3"
"ENSG00000235478","AC006946.15"
"ENSG00000237240","U47924.25"
"ENSG00000239922","RP11-71N10.1"
"ENSG00000241404","EGFL8"
"ENSG00000242759","RP11-280F2.2"
"ENSG00000245556","CTD-2037K23.2"
"ENSG00000246067","RP11-113K21.5"
"ENSG00000248508","RP11-521C20.4"
"ENSG00000251580","RP11-539L10.3"
"ENSG00000252814","7SK"
"ENSG00000253661","RP11-65D13.1"
"ENSG00000254003","CTB-167B5.1"
"ENSG00000254081","CTD-3025N20.2"
"ENSG00000254427","RP11-430H10.1"
"ENSG00000254783","RP11-320L11.2"
"ENSG00000255152","MSH5-C6orf26"
"ENSG00000255916","RP13-895J2.7"
"ENSG00000259604","RP11-66B24.1"
"ENSG00000006530","AGK"
"ENSG00000007372","PAX6"
"ENSG00000074410","CA12"
"ENSG00000075073","TACR2"
"ENSG00000076382","SPAG5"
"ENSG00000080823","MOK"
"ENSG00000084628","NKAIN1"
"ENSG00000091482","SMPX"
"ENSG00000100796","SMEK1"
"ENSG00000102871","TRADD"
"ENSG00000102935","ZNF423"
"ENSG00000103316","CRYM"
"ENSG00000112333","NR2E1"
"ENSG00000113522","RAD50"
"ENSG00000115425","PECR"
"ENSG00000122033","MTIF3"
"ENSG00000124067","SLC12A4"
"ENSG00000129566","TEP1"
"ENSG00000133101","CCNA1"
"ENSG00000133665","DYDC2"
"ENSG00000134668","SPOCD1"
"ENSG00000135540","NHSL1"
"ENSG00000136104","RNASEH2B"
"ENSG00000136449","MYCBPAP"
"ENSG00000137261","KIAA0319"
"ENSG00000139617","RP11-298P3.4"
"ENSG00000140961","OSGIN1"
"ENSG00000141161","UNC45B"
"ENSG00000141401","IMPA2"
"ENSG00000141449","GREB1L"
"ENSG00000144366","GULP1"
"ENSG00000145780","FEM1C"
"ENSG00000146535","GNA12"
"ENSG00000146648","EGFR"
"ENSG00000151849","CENPJ"
"ENSG00000151881","C5orf28"
"ENSG00000152669","CCNO"
"ENSG00000152910","CNTNAP4"
"ENSG00000152942","RAD17"
"ENSG00000156345","CDK20"
"ENSG00000159374","C2orf65"
"ENSG00000162510","MATN1"
